"","price","Date","returns","SMA_50","SMA_200","Volatility"
"2883",129.57536315918,"2021-06-17",0.0125223022513463,126.833813781738,122.104611244202,0.0110236207760861
"2884",128.267700195312,"2021-06-18",-0.0101431790199147,126.840127410889,122.089557304382,0.0105459753730858
"2885",130.076782226562,"2021-06-21",0.0140054208661269,126.830797576904,122.097148170471,0.0102148637112703
"2886",131.728546142578,"2021-06-22",0.0126184279216295,126.889053192139,122.164460487366,0.0101842504817716
"2887",131.453247070312,"2021-06-23",-0.00209208372141756,126.879180755615,122.230004959106,0.0101955613777734
"2888",131.168121337891,"2021-06-24",-0.00217138343446788,126.910719146728,122.33394367218,0.010229048255696
"2889",130.873168945312,"2021-06-25",-0.00225119115254735,126.887870941162,122.41439414978,0.00971077628927284
"2890",132.515090942383,"2021-06-28",0.0124678546195742,126.904535675049,122.521790161133,0.00971772753689662
"2891",134.039047241211,"2021-06-29",0.0114346219797916,126.938331451416,122.644094810486,0.0097261690775901
"2892",134.658477783203,"2021-06-30",0.0046106240781274,127.018476715088,122.753059997559,0.00971899416005779
"2893",134.963287353516,"2021-07-01",0.00226101702147297,127.097061920166,122.862668647766,0.00895138841390471
"2894",137.60807800293,"2021-07-02",0.0194068342677038,127.259166107178,123.002182579041,0.00899483261951283
"2895",139.63346862793,"2021-07-06",0.0146112780193226,127.415057525635,123.160579986572,0.00912990098967551
"2896",142.140609741211,"2021-07-07",0.0177958689003797,127.613239898682,123.348634605408,0.00948439573036049
"2897",140.832946777344,"2021-07-08",-0.0092423637633372,127.791746673584,123.514301147461,0.0100736512456462
"2898",142.671508789062,"2021-07-09",0.0129704330988858,128.022925262451,123.680697631836,0.00964348881920433
"2899",142.071746826172,"2021-07-12",-0.00421265710800345,128.244072113037,123.867038154602,0.00992114676038889
"2900",143.192626953125,"2021-07-13",0.00785857610351925,128.527290496826,124.053602027893,0.00904097932767415
"2901",146.643615722656,"2021-07-14",0.0238144949215577,128.858327789307,124.237559776306,0.00943829765160194
"2902",145.984909057617,"2021-07-15",-0.00450200661806477,129.268257751465,124.405113830566,0.0097495802465035
"2903",143.930023193359,"2021-07-16",-0.0141760223290985,129.6321824646,124.566649360657,0.0106333970741424
"2904",140.056213378906,"2021-07-19",-0.0272833652627895,129.886437072754,124.700401802063,0.0123860282728226
"2905",143.694030761719,"2021-07-20",0.0256423864826649,130.199879455566,124.847549285889,0.0130777785826088
