Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95
183.9384676003459,182.08580495892133,185.79113024177045,181.10506459860875,186.77187060208303
184.27996255397687,181.70064481321668,186.85928029473706,180.3352364793558,188.22468862859793
184.44643598296693,181.33453119212376,187.5583407738101,179.68718830433107,189.2056836616028
184.4384042223865,180.8820283936401,187.99478005113292,178.99939675110335,189.87741169366967
184.51780984568734,180.59502281380944,188.44059687756524,178.51842479695995,190.51719489441473
